11,19,14,9,3,10,1,15
14,17,19,4,8,13,11,6
19,12,11,9,4,15,1,14
5,12,1,20,18,9,15,3
8,6,10,2,12,18,4,15
12,15,20,8,6,17,19,9
11,19,17,3,18,2,4,13
2,14,13,15,10,11,7,1
15,10,2,12,4,8,3,6
12,4,16,17,7,6,9,5
18,10,5,15,14,8,19,11
15,4,19,9,20,11,3,8
1,6,4,16,8,11,2,13
13,7,10,5,12,8,1,15
1,19,20,6,14,11,12,2
6,20,15,16,5,8,2,12
4,6,15,18,16,1,12,9
15,13,12,8,2,10,19,1
13,3,6,7,5,16,20,19
11,13,19,14,12,3,20,5
2,19,10,16,15,11,14,6
17,14,12,4,20,11,15,3
20,6,14,2,18,3,4,5
18,17,8,13,14,1,10,12
18,6,2,19,11,13,12,10
16,20,12,7,2,9,5,6
19,10,3,15,7,5,12,13
16,8,10,4,3,18,1,7
13,7,6,2,4,5,9,11
19,10,20,5,2,12,3,17
10,14,15,20,19,17,5,18
19,10,17,11,3,15,20,9
8,1,20,17,11,10,12,15
1,11,3,13,15,20,17,19
18,8,1,15,17,11,14,6
15,10,14,6,13,16,11,3
12,13,1,15,18,11,9,6
11,1,17,13,20,12,15,6
3,2,14,7,20,8,13,19
19,7,9,14,1,17,6,3
7,4,17,2,9,18,13,1
5,20,10,11,19,6,7,9
18,4,19,16,13,1,6,3
17,13,2,14,3,6,1,12
12,16,7,13,8,15,5,17
17,1,11,4,7,18,15,12
18,3,16,9,19,15,10,6
15,20,13,10,7,6,12,8
9,5,8,16,15,20,7,10
11,10,6,7,20,12,19,3
15,11,8,14,3,16,4,5
10,17,16,9,5,2,19,6
1,17,2,16,4,12,8,11
6,4,16,17,1,10,8,15
14,7,1,20,19,4,17,9
14,15,1,6,19,5,3,7
11,2,3,9,15,14,5,18
1,19,17,13,20,12,5,15
8,1,14,10,4,2,16,20
10,3,15,7,12,4,8,16
11,12,16,7,14,17,10,20
11,9,7,15,8,12,20,10
13,19,15,14,11,6,5,17
2,8,14,19,12,7,16,17
16,19,17,11,9,12,18,7
12,9,11,2,13,1,20,15
6,4,11,1,18,20,13,17
3,8,4,11,6,18,5,13
9,14,10,1,11,19,17,13
2,10,3,8,9,15,1,4
9,20,11,10,3,17,14,4
9,16,11,19,4,10,13,12
8,1,12,4,13,7,9,11
12,11,8,20,1,16,10,3
2,15,18,13,20,4,16,9
12,4,13,14,7,9,15,17
11,12,2,18,5,10,7,17
6,9,7,13,20,15,2,12
6,7,17,9,14,10,2,13
1,18,3,16,8,5,6,7
13,10,7,17,12,14,5,9
5,8,10,9,14,7,16,3
12,8,11,16,15,20,3,18
18,17,4,10,16,5,9,2
5,2,6,12,19,11,20,4
8,18,9,17,6,5,4,1
9,6,20,7,12,14,1,11
8,17,13,19,15,20,16,14
20,5,17,10,6,11,3,4
19,10,17,6,15,8,20,1
1,12,18,3,2,9,10,16
8,10,4,2,20,6,5,18
10,11,3,14,15,19,5,13
4,17,15,16,3,6,5,14
15,19,11,13,20,9,4,14
20,4,5,3,15,19,12,11
20,6,10,1,18,15,8,3
9,6,8,4,5,16,10,14
5,1,12,9,20,7,18,10
6,2,17,18,20,9,19,12
19,3,6,12,16,1,20,17
11,5,20,10,12,13,16,4
4,13,12,11,19,20,7,14
18,7,2,16,3,8,10,1
6,8,16,19,11,12,4,10
20,7,3,13,11,10,17,4
3,14,17,5,16,6,8,7
17,9,5,4,3,8,16,7
17,11,20,14,3,10,13,6
18,9,5,20,4,2,12,1
13,18,14,6,4,1,11,9
1,4,9,3,19,12,5,16
8,19,17,2,16,20,9,18
16,10,17,7,11,13,19,12
11,13,8,16,2,5,3,12
9,13,7,5,15,18,12,17
9,1,3,4,11,16,7,10
4,3,6,7,2,19,10,20
3,8,14,16,19,20,18,2
14,20,16,9,6,2,8,19
19,20,1,11,13,14,9,6
20,14,17,1,18,7,2,3
16,14,12,10,20,19,8,3
11,7,2,4,16,8,5,10
13,2,11,6,20,17,15,16
15,19,6,11,7,2,12,17
14,17,5,3,7,8,20,4
5,15,2,16,14,17,3,11
